staking,pass,,,,,,,,,65,,,,,,,,,,,
dead plants,pass,,,,,,,,,208,,,,,,,,,,,
pipes correctly burried,pass,,"If we add A,B,C,D,E,F,G",,We get the total of B2S7,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,10792KGS,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,by precious,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05/20/25,b2s1a daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"partial, felted coccid on nuts ",,,,,,,,,,,,,,,,,,,,
diseases,"Partial , branch blight and phytophthora root rot disease on 3 plants",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial,fungicide should be used to prevent",,,,,,,,,,,,,,,,,,,,
NB,the orchard start flowering,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
05/20/25,b2s1b daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"pass, few plants with wounds and trunk canker",,,,,,,,,,,,,,,,,,,,
basin weeds,"partial, weeds regrowth",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass on slashing ,not herbiciding",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
health status,"pass, only few plant to be treated against trunk canker",,,,,,,,,,,,,,,,,,,,
flowering,"partial, some plants start to flowering",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05/20/25,b2s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,partial variegated stink bug nymph,,,,,,,,,,,,,,,,,,,,
diseases,"partial ,fussarium branch blight on few young plants",,,,,,,,,,,,,,,,,,,,
basin weeds,pass weeds regrowth only,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,"partial,nitrogen defficiency on 4 plants",,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,"partial, yellowish and brownish due to magnesium defficieny",,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial,nutrients should be well balanced and also diseases prevention is now required",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
05/15/25,b2s5 daily scouting zig zag,,,,,,,,,,,,,,,,,,,,
insect pests,"partial ,green vegetable bug nymphs",,,,,,,,,,,,,,,,,,,,
diseases,"fail, fussarium blight caused by fussarium still boids and manultrition",,,,,,,,,,,,,,,,,,,,
basin weeds ,pass suitable for manure application,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial ,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,"partial ,browining of leaf affected by fussarium",,,,,,,,,,,,,,,,,,,,
soil nutriens,partial compost application is required,,,,,,,,,,,,,,,,,,,,
plant growth,"partial ,nutrition should be supplimented",,,,,,,,,,,,,,,,,,,,
pruning ,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,scouted by jacob,,,,,,,,,,,,,,,,,,,,
05/15/25,b2s3 Daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,Partial 2 nymphal stink bugs,,,,,,,,,,,,,,,,,,,,
diseases,"partial ,fussarium branch blight at the lower elevation",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrien,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
health status,"partial ,fussarium branch blight ",,,,,,,,,,,,,,,,,,,,
,scouted by jacob,,,,,,,,,,,,,,,,,,,,
05/16/25,b2s4,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial ,fussarium branch blight ",,,,,,,,,,,,,,,,,,,,
basin weeds,"fail, very dirty although pintoi was planted",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,"partial, a calcium defficiency ",,,,,,,,,,,,,,,,,,,,
soil nutrients,partial incompetition with weeds,,,,,,,,,,,,,,,,,,,,
plant growth,partial ,,,,,,,,,,,,,,,,,,,,
pruning,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
health status,"partial ,due to fussarium caused by food dehydration caused by weeds",,,,,,,,,,,,,,,,,,,,
,scouted by jacob,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05/21/25,b2s7 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"Fail,2 green vegetable bugs ,their nymphs and some eggs",,,,,,,,,,,,,,,,,,,,
diseases,"partial ,trunk canker on few plants ,wounds of harvesting damages",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,fail,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,partial due to trunk canker and branches wounds which need action,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05/21/25,b2s6 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"Fail, 2 coconut bug adults , black citrus aphids on new shoots , eggs",,,,,,,,,,,,,,,,,,,,
diseases,"partial, phytophthora root rot ,and wounds of harvesting",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass,only 1 line which was skipped during herbiciding",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drppers,partial ,,,,,,,,,,,,,,,,,,,,
dead plants,"Pass ,1 big tree died from phytophthora root disease",,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,partial ,,,,,,,,,,,,,,,,,,,,
,NB few nuts with latania scales requires action to avoid pests carry over,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"recommend prune after harvest, and and spray Lambda immediately on 7 day cycle.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05/22/25,B1S1  Daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail ,some green vegetable bugs and latania scales to be controled immediately",,,,,,,,,,,,,,,,,,,,
diseases,"partial, few plants affected with phytophthora root rot ",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
contours,"fail ,to be slashed",,,,,,,,,,,,,,,,,,,,
pruning,"fail ,recommend prune  before main flowering",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
wet soil,partial ,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
flowering,"partial ,some of the plants start  to flower",,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
remaining nuts,"pass ,very few",,,,,,,,,,,,,,,,,,,,
health status,"partial ,due to root rot and wounds from harvest damages [branches]",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05/22/25,b1s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,Fail 2 green vegetable bug adults found and some eggs,,,,,,,,,,,,,,,,,,,,
diseases,"partial ,heavy wounds resulting from harvest",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
contours,"fail,to be slashed ",,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,"fail, should be actioned before main flowering",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail, to be polished up by slashing",,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
 remaining nuts,"pass, very few nuts found in the b1s2 ",,,,,,,,,,,,,,,,,,,,
health status,"partial, due to heavily damages from harvest ",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
05/24/25,b2s8 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail ,latania scales on leaves",,,,,,,,,,,,,,,,,,,,
diseases,"partial ,trunk canker and magnesium defficiency including manganese toxicity",,,,,,,,,,,,,,,,,,,,
basin weeds,"partial,the herbicided grass should removed off for sure smart",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,"partial ,grass recovering up",,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass ,herbicided and slashing was done",,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,"partial,magnesium and manganese toxicity to be well mantained",,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,partial,,,,,,,,,,,,,,,,,,,,
pruning,"fail ,to be actioned soon before flowering  ",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial few plants start to flower,,,,,,,,,,,,,,,,,,,,
remaining nuts,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial ,trunk canker need action",,,,,,,,,,,,,,,,,,,,
,by precious,,PLANT HEALTH DASHBOARD FROM 15/05/25 TO 24/05/25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,DATES,05/22/25,05/22/25,05/20/25,05/20/25,05/20/25,05/15/25,05/16/25,15/05/2516/05/25,,05/21/25,05/21/25,,,,,,,,
,,ITEMS,B1S1,B1S2,B2S1A,B2S1B,B2S2,B2S3,B2S4,B2S5,B2S6,B2S7,B2S8,,,,,,,,
,,pests,fail,fail,pass,pass,partial,partial,pass,partial,fail,fail,partial,,,,,,,,
,,diseases,partial,partial,partial,pass,partial,partial,partial,fail,part,partial,partial,,,,,,,,
,,basin weeds,pass,pass,pass,partial,pass,pass,pass,pass,pass,pass,partial,,,,,,,,
,,basin formation,N/A,N/A,N/A,N/A,pass,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,,inrow slashing,pass,pass,pass,pass,pass,pass,partial,pass,pass,pass,partial,,,,,,,,
,,mowing,pass,pass,pass,fail,pass,pass,partial,pass,pass,pass,pass,,,,,,,,
,,wet soil condition,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
,,soil nutrients,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,partial,,,,,,,,
,,pipes correctly burried,N/A,N/A,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
,,pipes in good order,N/A,N/A,pass,pass,partial,partial,pass,pass,partial,pass,partial,,,,,,,,
,,drippers,N/A,N/A,pass,pass,pass,pass,pass,pass,partial,fail,pass,,,,,,,,
,,prunning,fail,fail,fail,partial,partial,partial,partial,pass,fail,fail,partial,,,,,,,,
,,staking,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
,,leaf colour,pass,pass,pass,pass,partial,pass,pass,pass,pass,pass,pass,,,,,,,,
,,plant growth,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,partial,,,,,,,,
,,dead plants,pass,pass,pass,pass,partial,partial,pass,partial,partial,pass,pass,,,,,,,,
,,health status,partial,partial,partial,pass,partial,partial,partial,partial,partial,partial,partial,,,,,,,,
05/27/25,daily scouting b2s5,,,,,,,,,,,,,,,,,,,,
insect pests,"partial ,black citrus Aphids and felted coccid on leaves ",,,,,,,,,,,,,,,,,,,,
diseases,"partial ,phythophthora root rot lead to the death of big trees",,,,,,,,,,,,,,,,,,,,
basin weeds,partial weeds regrowth,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,fail to be slashed,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,"partial, compost manure is required for nutritional acts",,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,"pass,1plant need action",,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,"partial,flowers starts ",,,,,,,,,,,,,,,,,,,,
health status,"partial,soil nutrients and diseases should be well monitored for plant health",,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,
,recommend fungicide sprays to prevent before wide spread of diseases to other plants,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
05/27/25,b2s3 Daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,partial black citrus Aphids on new shoots,,,,,,,,,,,,,,,,,,,,
diseases,partial fussarium branch blight on few plants,,,,,,,,,,,,,,,,,,,,
basin weeds,pass weeds regrowth only,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass ,grass recoveries",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,"fail, to be actioned soon  before main flowering",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,partial ,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,partial due to branch blight ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
05/28/25,daily scouting b2s4,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,partial branch blight on few plants,,,,,,,,,,,,,,,,,,,,
basin weeds,"pass ,very clean ",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail to be slashed,,,,,,,,,,,,,,,,,,,,
pintoi,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,partial early tree training is required,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
health status,"partial, ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
05/28/25,b2s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"Fail ,2 variegated stink bug found",,,,,,,,,,,,,,,,,,,,
diseases,partial branch blight on few plants,,,,,,,,,,,,,,,,,,,,
basin weeds,"Pass , weeds regrowth",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass ,grass recoveries",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,Partial 3 plants with calcium defficiency,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
pruning,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,"pass ,early prevention of branch blight",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1plant is extremely yellowish due to phythophthora root rot,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
28/05/25,b2s1a daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,recomment prune before  main flowering,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
28/05/25,b2s1b,,,,,,,,,,,,,,,,,,,,
insect pests,"partial ,felted coccid on leaves",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,partial inprogress,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,recomment prune before  main flowering,,,,,,,,,,,,,,,,,,,,
,interows requires action like destumping,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
30/05/25,b2s8 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail,some green vegetable bugs found and felted coccid on leaves",,,,,,,,,,,,,,,,,,,,
diseases,"partial,trunk canker  on few plants",,,,,,,,,,,,,,,,,,,,
basin weeds ,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,"partial ,inprogress",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
plant growth,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,"partial,most of the plants at west side have pale yellow leaves",,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
dead plants,"partial,2plants",,,,,,,,,,,,,,,,,,,,
healthy status,"partial, diseases and nutritional of b2s8 should be well monitored for plant health",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
30/05/25,b2s7 daily,,,,,,,,,,,,,,,,,,,,
insect pests,"fail ,green vegetable bugs [4] and some eggs",,,,,,,,,,,,,,,,,,,,
diseases,"partial ,trunk canker requires action",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin information,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,"fail, to be actioned before main flowering",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,pass,,,,,,,,,,,,,,,,,,,,
flowering,"partial,",,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial ,a curative fungicides should be applied well",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
